,Share Capital,"Share Premium_x000D_
",Revaluation Reserves,Statutory Reserves,Retained Earnings,Other Reserves,"Total Equity_x000D_
",Underwriting Provisions,Actuarial Contract Liabilities,LongTerm Liabilities,Current Liabilities,Total Equity And Liabilities,Land And Buildings,Investment Property,Other Fixed Assets,Government Securities,Other Securities,Investment in Related Companies,Corporate Bonds,Commercial Papers,Debentures,Ordinary Shares Quoted,Ordinary Shares Unquoted,Preference Shares Quoted,Preference Shares Unquoted,Loans Secured & Unsecured,Mortgages,Term Deposits,Cash and Cash Balances,Outstanding Premiums,Other Receivables,Other Assets,Intangible Assets,Total Assets,Amounts in thousand Shillings                                                                                                                                                                                         ,Amounts in thousand Shillings                                                                                                                                                                                               ,Amounts in Thousand Shillings
GEMINIA INSURANCE COMPANY,255000.0,0.0,0.0,88996.0,0.0,0.0,343996.0,258139.0,977068.0,43622.0,339400.0,1962225.0,0.0,0.0,88.0,622370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20834.0,0.0,667736.0,272050.0,247855.0,0.0,131291.0,0.0,1962225.0,,,
ICEA LION LIFE ASSURANCE COMPANY,450000.0,0.0,0.0,8970465.0,2796116.0,0.0,12216581.0,147252.0,77722379.0,2098119.0,1319027.0,93503359.0,0.0,10772500.0,99466.0,64448813.0,0.0,1246846.0,845188.0,0.0,0.0,8071765.0,1020.0,1223.0,0.0,587431.0,574701.0,5855929.0,17144.0,13674.0,221511.0,729106.0,17041.0,93503359.0,,,
JUBILEE INSURANCE COMPANY,500000.0,0.0,0.0,2042638.0,4052190.0,0.0,6594828.0,765999.0,73927786.0,938924.0,1275708.0,83503246.0,0.0,4476000.0,38263.0,59484344.0,0.0,2027390.0,579736.0,0.0,0.0,4082473.0,5187303.0,0.0,0.0,881954.0,0.0,2890332.0,2086934.0,726137.0,579136.0,419074.0,44169.0,83503246.0,,,
KENINDIA ASSURANCE COMPANY ,161388.0,0.0,299078.0,318516.0,1144.0,1054947.0,1835073.0,117451.0,37151619.0,13787.0,560766.0,39678696.0,1045218.0,2011224.0,16185.0,34714802.0,0.0,0.0,52535.0,0.0,0.0,153923.0,153.0,0.0,0.0,113414.0,4239.0,1137297.0,367196.0,1192.0,44731.0,0.0,16589.0,39678696.0,,,
KENYA ORIENT LIFE ASSURANCE,183000.0,0.0,0.0,45994.0,-7791.0,0.0,221203.0,11079.0,1012824.0,19712.0,21522.0,1286340.0,0.0,140000.0,13356.0,673865.0,0.0,0.0,65562.0,40621.0,0.0,0.0,54067.0,0.0,0.0,29562.0,0.0,139136.0,8630.0,49237.0,0.0,62613.0,9692.0,1286340.0,,,
KUSCCO MUTUAL ASSURANCE LIMITED,500000.0,0.0,0.0,5711407.0,0.0,-10064.0,6201343.0,0.0,2687032.0,0.0,2542198.0,11430573.0,0.0,1749775.0,0.0,3903101.0,0.0,0.0,0.0,0.0,0.0,346246.0,0.0,0.0,0.0,0.0,0.0,5006346.0,6761.0,124585.0,0.0,0.0,293758.0,11430573.0,,,
KENYA REINSURANCE CORPORATION,401500.0,0.0,0.0,0.0,5960.0,0.0,407460.0,11062.0,200722.0,0.0,180754.0,799998.0,0.0,0.0,22967.0,383041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986.0,4253.0,79034.0,281326.0,0.0,27393.0,799998.0,,,
LIBERTY LIFE ASSURANCE,612340.0,0.0,384903.0,2099696.0,-304170.0,0.0,2792769.0,419521.0,19699225.0,1064840.0,604855.0,24581210.0,731271.0,1208729.0,56708.0,14712704.0,0.0,0.0,397271.0,0.0,0.0,3876431.0,164664.0,0.0,0.0,1163652.0,371482.0,962523.0,450411.0,114669.0,29737.0,177260.0,163699.0,24581210.0,,,
MADISON INSURANCE COMPANY ,450000,0,0,580462,62000,0,1092462,6598,12833064,132177,254082,14318383,0,6205000,46468,3769353,17580,0,26300,0,0,0,1907807,0,0,74153,90148,1122570,205024,92157,702795,47940,11088,14318383,,Continued next page,
METROPOLITAN CANNON INSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
OLD MUTUAL ASSURANCE COMPANY ,2174871.0,1884957.0,0.0,0.0,-2036507.0,0.0,2023320.0,328213.0,11837077.0,0.0,1134057.0,15322667.0,0.0,2340000.0,79148.0,3904772.0,22860.0,0.0,237043.0,0.0,0.0,3939642.0,377129.0,0.0,0.0,139982.0,2568.0,3202743.0,391992.0,73613.0,264232.0,337732.0,9212.0,15322667.0,,,
PIONEER ASSURANCE COMPANY,400000.0,0.0,0.0,327059.0,283436.0,0.0,1010495.0,834949.0,3878503.0,166904.0,1727922.0,7618773.0,0.0,1515200.0,37822.0,773117.0,0.0,0.0,0.0,0.0,0.0,23818.0,0.0,0.0,100000.0,153026.0,0.0,1422501.0,1533142.0,1582268.0,206923.0,267148.0,3808.0,7618773.0,,,
PRUDENTIAL LIFE ASSURANCE,412185.0,2421891.0,0.0,0.0,-1946681.0,0.0,887395.0,16106.0,625172.0,0.0,263793.0,1792466.0,0.0,0.0,61964.0,1372375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27251.0,0.0,87999.0,40857.0,14266.0,159.0,137888.0,49706.0,1792466.0,,,
SAHAM INSURANCE COMPANY,150000.0,0.0,3474.0,0.0,0.0,0.0,153474.0,9993.0,375437.0,0.0,56667.0,595572.0,0.0,80000.0,127.0,197342.0,0.0,0.0,28283.0,0.0,0.0,0.0,0.0,0.0,0.0,7163.0,0.0,254394.0,19611.0,3891.0,0.0,4761.0,0.0,595572.0,,,
SANLAM LIFE INSURANCE,843138.0,30260.0,0.0,1312284.0,560253.0,0.0,2745936.0,0.0,19646788.0,649621.0,1541309.0,24583653.0,0.0,3375000.0,179260.0,17781630.0,103108.0,0.0,53695.0,0.0,0.0,1508425.0,0.0,0.0,0.0,250548.0,88101.0,315292.0,368032.0,164878.0,0.0,215144.0,180542.0,24583653.0,,,
TAKAFUL INSURANCE OF AFRICA,150000.0,0.0,0.0,11277.0,0.0,9000.0,170277.0,0.0,0.0,7517.0,70026.0,247820.0,0.0,0.0,0.0,33580.0,19756.0,0.0,24920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117240.0,12232.0,0.0,30711.0,9382.0,0.0,247820.0,,,
THE KENYAN ALLIANCE INSURANCE ,400000.0,0.0,0.0,6000.0,0.0,-27774.0,378226.0,59284.0,2870864.0,0.0,32955.0,3341329.0,135000.0,1251500.0,715.0,282241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103455.0,1188.0,26389.0,0.0,540842.0,0.0,3341329.0,,,
THE MONARCH INSURANCE COMPANY ,154976.0,0.0,0.0,49785.0,0.0,1114.0,205875.0,98563.0,259844.0,0.0,74270.0,638551.0,0.0,310862.0,17583.0,74983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4547.0,0.0,91701.0,11066.0,126162.0,0.0,0.0,1648.0,638551.0,,,
UAP LIFE ASSURANCE COMPANY,1585456.0,0.0,27534.0,311922.0,117004.0,0.0,2041916.0,472198.0,9522404.0,183825.0,500856.0,12721199.0,0.0,850000.0,27413.0,8109137.0,0.0,0.0,62285.0,0.0,0.0,2086260.0,15701.0,0.0,0.0,34086.0,75409.0,841382.0,174322.0,310785.0,15684.0,118734.0,0.0,12721199.0,,,
TOTAL,14077854.0,4337108.0,716721.0,23634668.0,3556397.0,11211168.0,57533916.0,5515430.0,377115513.0,9973713.0,16795077.0,466933648.0,2046104.0,47677379.0,972057.0,289950607.0,878868.0,5010565.0,3135863.0,188087.0,0.0,35345641.0,7772530.0,1223.0,100000.0,5912585.0,2436226.0,30147875.0,6384231.0,5812545.0,4270906.0,16863643.0,2026713.0,466933648.0,,,
APA LIFE ASSURANCE COMPANY,700000.0,0.0,0.0,43145.0,-194646.0,0.0,548499.0,179027.0,4357993.0,0.0,252326.0,5337845.0,0.0,155000.0,16907.0,3316403.0,38910.0,0.0,70514.0,114986.0,0.0,222197.0,8060.0,0.0,0.0,34185.0,0.0,1012720.0,65216.0,224708.0,38061.0,14793.0,5184.0,5337845.0,,,
BARCLAYS LIFE,699000.0,0.0,0.0,-604758.0,448295.0,0.0,542537.0,0.0,1973586.0,0.0,817729.0,3333852.0,0.0,0.0,40221.0,2016185.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253333.0,48513.0,105871.0,5266.0,861964.0,0.0,3333852.0,,,
BRITAM LIFE ASSURANCE,180000.0,0.0,0.0,0.0,0.0,7091949.0,7271949.0,765587.0,58507211.0,2796407.0,1318435.0,70659589.0,120463.0,6392954.0,232000.0,33637859.0,0.0,1746676.0,541264.0,0.0,0.0,7707686.0,102871.0,0.0,0.0,1657031.0,1209394.0,877763.0,751943.0,658442.0,937772.0,13054481.0,1030989.0,70659589.0,,,
CAPEX LIFE ASSURANCE COMPANY ,150000.0,0.0,1608.0,18442.0,0.0,195823.0,365873.0,5440.0,395559.0,0.0,38788.0,805661.0,0.0,512000.0,9655.0,163093.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,33000.0,40178.0,1375.0,0.0,46357.0,0.0,805661.0,,,
CIC LIFE ASSURANCE COMPANY,800000.0,0.0,0.0,1089160.0,216678.0,-45877.0,2059961.0,361817.0,8764224.0,495824.0,503708.0,12185534.0,0.0,2181875.0,106916.0,5204527.0,517530.0,0.0,300363.0,0.0,0.0,788038.0,18584.0,0.0,0.0,358894.0,91103.0,980533.0,89386.0,785407.0,218051.0,539572.0,4756.0,12185534.0,,,
CONTINENTAL REINSURANCE,300000.0,0.0,-58.0,21057.0,0.0,156963.0,477962.0,103064.0,0.0,37516.0,89349.0,707890.0,0.0,0.0,0.0,441304.0,0.0,0.0,5852.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,0.0,60098.0,7656.0,136655.0,0.0,55317.0,0.0,707890.0,,,
CORPORATE INSURANCE COMPANY ,150000.0,0.0,0.0,103459.0,0.0,0.0,253459.0,34849.0,550728.0,55269.0,33243.0,927548.0,0.0,385000.0,616.0,152389.0,0.0,0.0,0.0,0.0,0.0,0.0,978.0,0.0,0.0,69849.0,0.0,308444.0,2128.0,0.0,8064.0,0.0,80.0,927548.0,,,
EAST AFRICA REINSURANCE ,500000,0,0,0,0,530346,1030346,498380,81573,228908,217142,2056349,0,0,0,1184963,0,0,86393,0,0,14049,0,0,0,0,0,253771,30939,342147,19486,442,124158,2056349,Continued next page,,
FIRST ASSURANCE COMPANY ,150000.0,0.0,0.0,182486.0,0.0,0.0,332486.0,12977.0,12004.0,93932.0,32717.0,484116.0,0.0,82000.0,2.0,293470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60167.0,23179.0,25298.0,0.0,0.0,0.0,484116.0,,,
GA LIFE INSURANCE COMPANY,200000.0,0.0,0.0,58909.0,44337.0,0.0,303247.0,4175.0,7424400.0,25247.0,42469.0,7799537.0,0.0,1353629.0,6011.0,5957572.0,0.0,0.0,158092.0,0.0,0.0,161740.0,0.0,0.0,0.0,4240.0,0.0,67236.0,16492.0,3875.0,0.0,60629.0,10021.0,7799537.0,,,
GEMINIA INSURANCE COMPANY,255000.0,0.0,0.0,148118.0,0.0,0.0,403118.0,89218.0,802860.0,0.0,382510.0,1677706.0,0.0,0.0,0.0,637604.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,2767.0,0.0,545258.0,24345.0,361874.0,0.0,105107.0,0.0,1677706.0,,,
ICEA LION LIFE ASSURANCE COMPANY,450000.0,0.0,0.0,6623662.0,2303414.0,250000.0,9627076.0,134079.0,68491249.0,1136475.0,674999.0,80063878.0,0.0,10534000.0,91423.0,54912864.0,0.0,1246846.0,1419466.0,0.0,0.0,6676426.0,61869.0,0.0,0.0,526616.0,531772.0,3651925.0,17461.0,26522.0,196636.0,155325.0,14728.0,80063878.0,,,
JUBILEE INSURANCE COMPANY,500000.0,0.0,0.0,2220839.0,1548849.0,0.0,4269688.0,824392.0,65681410.0,63508.0,1041686.0,71880684.0,0.0,4458000.0,49033.0,47524692.0,0.0,1963905.0,834239.0,0.0,0.0,4945582.0,3373177.0,0.0,0.0,850072.0,0.0,4821961.0,1007111.0,627565.0,1340401.0,29228.0,55716.0,71880684.0,,,
KENINDIA ASSURANCE COMPANY ,161388.0,0.0,129951.0,318516.0,29214.0,1324750.0,1963819.0,139638.0,31498399.0,13787.0,456487.0,34072130.0,1083940.0,2008654.0,14997.0,30153710.0,0.0,0.0,52525.0,0.0,0.0,134204.0,153.0,0.0,0.0,165586.0,4813.0,119052.0,225760.0,2566.0,94251.0,0.0,11918.0,34072130.0,,,
KENYA ORIENT LIFE ASSURANCE,173000.0,0.0,0.0,56485.0,1350.0,0.0,230835.0,0.0,755898.0,0.0,9827.0,996560.0,0.0,175000.0,16859.0,451206.0,0.0,0.0,24447.0,40488.0,0.0,0.0,57929.0,0.0,0.0,8928.0,0.0,53151.0,50948.0,62014.0,26578.0,16366.0,12646.0,996560.0,,,
KENYA REINSURANCE CORPORATION,500000.0,0.0,0.0,4320953.0,0.0,-7556.0,4813397.0,0.0,2629125.0,0.0,1930084.0,9372605.0,0.0,1675000.0,0.0,2323736.0,0.0,0.0,0.0,0.0,0.0,287773.0,0.0,0.0,0.0,0.0,0.0,4292169.0,6761.0,197772.0,0.0,224675.0,364719.0,9372605.0,,,
LIBERTY LIFE ASSURANCE,612340.0,0.0,384883.0,2061985.0,-506174.0,0.0,2553033.0,514639.0,18827918.0,1059981.0,747364.0,23702935.0,728445.0,1081555.0,79494.0,12641876.0,0.0,0.0,1010285.0,0.0,0.0,3046140.0,194599.0,0.0,0.0,1173627.0,380424.0,2454944.0,233293.0,218418.0,5845.0,301348.0,152642.0,23702935.0,,,
MADISON INSURANCE COMPANY ,450000.0,0.0,0.0,1004633.0,62000.0,0.0,1516633.0,29112.0,10745602.0,294002.0,100361.0,12685710.0,0.0,5414000.0,56789.0,3504129.0,63195.0,0.0,96068.0,0.0,0.0,6399.0,2397807.0,0.0,0.0,67097.0,98369.0,341051.0,83117.0,189613.0,351675.0,0.0,16402.0,12685710.0,,,
METROPOLITAN CANNON INSURANCE,416726,491067,2500,0,-1089774,590379,410899,273209,1362953,202616,189742,2439419,92500,833000,12888,1014478,0,0,53984,0,0,63161,2963,0,0,16656,29641,168431,13275,76073,0,58748,3620,2439419,,Continued next page,
OLD MUTUAL ASSURANCE COMPANY ,2174871.0,1884957.0,0.0,0.0,-2171124.0,0.0,1888703.0,368393.0,11001928.0,0.0,736173.0,13995198.0,0.0,2271038.0,116893.0,4342140.0,21957.0,0.0,359255.0,0.0,0.0,3303451.0,407159.0,0.0,0.0,173054.0,6157.0,2167387.0,225347.0,56928.0,419346.0,108901.0,16186.0,13995198.0,,,
PIONEER ASSURANCE COMPANY,150000.0,0.0,0.0,564755.0,201464.0,0.0,916219.0,1216891.0,3211813.0,238763.0,1472385.0,7056071.0,0.0,1411500.0,44704.0,466878.0,0.0,0.0,0.0,0.0,0.0,21350.0,0.0,0.0,0.0,151878.0,0.0,395769.0,533059.0,3637501.0,242740.0,144367.0,6325.0,7056071.0,,,
PRUDENTIAL LIFE ASSURANCE,409185.0,2124525.0,0.0,0.0,-1776726.0,0.0,756985.0,0.0,545761.0,0.0,166744.0,1469490.0,0.0,0.0,59209.0,1156659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20606.0,0.0,105052.0,26403.0,18495.0,2901.0,47404.0,32761.0,1469490.0,,,
SAHAM INSURANCE COMPANY,150000.0,0.0,2363.0,0.0,0.0,-14360.0,138002.0,0.0,881570.0,0.0,49863.0,1069436.0,0.0,75000.0,2061.0,544183.0,0.0,0.0,59269.0,0.0,0.0,0.0,0.0,0.0,0.0,8093.0,0.0,268197.0,76352.0,9783.0,0.0,26499.0,0.0,1069436.0,,,
SANLAM LIFE INSURANCE,843138.0,30260.0,0.0,676719.0,560253.0,0.0,2110371.0,0.0,19884722.0,1080451.0,1090926.0,24166469.0,450000.0,2924000.0,150510.0,14322898.0,1280221.0,0.0,1254774.0,0.0,0.0,2157370.0,0.0,0.0,0.0,309745.0,99780.0,364404.0,248900.0,174548.0,0.0,273691.0,155628.0,24166469.0,,,
TAKAFUL INSURANCE OF AFRICA,150000.0,0.0,0.0,8454.0,0.0,9000.0,167454.0,0.0,0.0,0.0,121749.0,289203.0,0.0,0.0,0.0,52532.0,0.0,0.0,26640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114679.0,18125.0,58085.0,19141.0,0.0,0.0,289203.0,,,
THE KENYAN ALLIANCE INSURANCE ,400000.0,0.0,0.0,6000.0,0.0,72117.0,478117.0,182689.0,2394863.0,0.0,106579.0,3162247.0,132500.0,1241500.0,1177.0,280683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.0,0.0,1219628.0,155.0,35907.0,65338.0,183962.0,0.0,3162247.0,,,
THE MONARCH INSURANCE COMPANY ,154976.0,0.0,0.0,61012.0,0.0,151510.0,367498.0,77487.0,211640.0,0.0,80089.0,736715.0,0.0,361916.0,21217.0,69201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30585.0,1414.0,120918.0,129018.0,394.0,2053.0,736715.0,,,
UAP LIFE ASSURANCE COMPANY,1585456.0,0.0,27534.0,311922.0,-49818.0,0.0,1875093.0,550972.0,8213387.0,130940.0,494024.0,11264416.0,0.0,840000.0,33476.0,6466578.0,0.0,0.0,638676.0,0.0,0.0,1586635.0,15701.0,0.0,0.0,16700.0,59790.0,859373.0,241310.0,451283.0,41644.0,13250.0,0.0,11264416.0,,,
TOTAL,13365080.0,4530809.0,548781.0,19295953.0,-372408.0,10305044.0,47673259.0,6366035.0,329208376.0,7953626.0,13197498.0,404398793.0,2607848.0,46366621.0,1163058.0,233233812.0,1924313.0,4957427.0,6992856.0,155474.0,0.0,31122203.0,6641850.0,0.0,0.0,5618029.0,2511243.0,25880081.0,4108766.0,8609643.0,4162214.0,16322820.0,2020532.0,404398793.0,,,
APA LIFE ASSURANCE COMPANY ,550000.0,0.0,7413.0,23399.0,-134467.0,0.0,446345.0,198648.0,3901491.0,10028.0,126249.0,4682761.0,0.0,273000.0,13176.0,3276180.0,41017.0,0.0,92163.0,92953.0,0.0,191202.0,12887.0,0.0,0.0,20958.0,0.0,398038.0,21492.0,199905.0,25733.0,13690.0,10367.0,4682761.0,,,
BARCLAYS LIFE ASSURANCE ,699000.0,0.0,2760.0,-519311.0,350408.0,0.0,532857.0,0.0,1580737.0,400000.0,289161.0,2802756.0,0.0,0.0,38820.0,1711198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194868.0,29744.0,190517.0,37141.0,600469.0,0.0,2802756.0,,,
BRITAM LIFE ASSURANCE,180000.0,0.0,0.0,0.0,0.0,8489961.0,8669961.0,811829.0,48199310.0,3424054.0,2071125.0,63176279.0,138720.0,4578915.0,365141.0,16199210.0,8349518.0,3000275.0,756346.0,0.0,0.0,8010794.0,143910.0,0.0,0.0,1076466.0,1178306.0,1849555.0,872866.0,354689.0,623864.0,14692273.0,985431.0,63176279.0,,,
CANNON ASSURANCE COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
CAPEX LIFE ASSURANCE COMPANY ,150000.0,0.0,778.0,32225.0,0.0,143219.0,326222.0,1006.0,282650.0,0.0,58480.0,668357.0,0.0,501500.0,5184.0,85600.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38000.0,1783.0,1938.0,0.0,34350.0,0.0,668357.0,,,
CIC LIFE ASSURANCE COMPANY ,800000.0,0.0,0.0,1102610.0,216178.0,-86912.0,2031876.0,346387.0,6900326.0,473809.0,532666.0,10285064.0,0.0,2160875.0,140986.0,3528143.0,598599.0,0.0,376394.0,0.0,0.0,640727.0,6420.0,0.0,0.0,305211.0,153612.0,789725.0,83756.0,572808.0,326564.0,594156.0,7087.0,10285064.0,,,
CONTINENTAL REINSURANCE PLC,300000.0,0.0,-75.0,21057.0,0.0,110216.0,431197.0,68310.0,0.0,30844.0,50590.0,580942.0,0.0,0.0,0.0,366627.0,0.0,0.0,10194.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,0.0,120754.0,2518.0,46817.0,0.0,33477.0,0.0,580942.0,,,
CORPORATE INSURANCE COMPANY ,150000.0,0.0,0.0,152203.0,0.0,0.0,302203.0,10705.0,505664.0,0.0,100707.0,919280.0,0.0,370000.0,664.0,187244.0,0.0,0.0,0.0,0.0,0.0,1478.0,1151.0,0.0,0.0,63972.0,0.0,285734.0,6412.0,0.0,2623.0,0.0,0.0,919280.0,,,
EAST AFRICA REINSURANCE COMPANY,500000,0,515349,0,0,0,1015349,160050,132997,220864,133031,1662291,0,0,0,1057736,0,0,87640,0,0,38511,0,0,0,0,0,305367,17960,122179,32503,394,0,1662291,Continued next page,,
FIRST ASSURANCE COMPANY ,150000.0,0.0,0.0,191243.0,0.0,0.0,341243.0,4857.0,13557.0,82776.0,47311.0,489745.0,0.0,78000.0,9.0,257397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61872.0,18230.0,60330.0,13908.0,0.0,0.0,489745.0,,,
GA LIFE ASSURANCE LIMITED,200000.0,0.0,0.0,48944.0,39043.0,0.0,287987.0,892.0,5632985.0,20976.0,46957.0,5989797.0,0.0,1107574.0,574.0,4303353.0,0.0,0.0,180326.0,0.0,0.0,125384.0,0.0,0.0,0.0,2832.0,0.0,82484.0,93428.0,592.0,0.0,83374.0,9877.0,5989797.0,,,
GEMINIA INSURANCE COMPANY ,150000.0,0.0,0.0,143892.0,0.0,0.0,293892.0,65338.0,662213.0,0.0,55917.0,1077361.0,0.0,0.0,0.0,584800.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,1801.0,0.0,411369.0,2132.0,29858.0,25018.0,20882.0,0.0,1077361.0,,,
ICEA LION LIFE ASSURANCE COMPANY,450000.0,0.0,0.0,6866906.0,2326549.0,0.0,9643455.0,104731.0,58283479.0,1346859.0,439214.0,69817738.0,0.0,10276000.0,94985.0,46471881.0,0.0,826490.0,1429498.0,0.0,0.0,6162426.0,0.0,0.0,0.0,513451.0,493759.0,3099594.0,46740.0,0.0,28266.0,356417.0,18232.0,69817738.0,,,
JUBILEE INSURANCE COMPANY,500000.0,0.0,30241.0,2185074.0,1404935.0,0.0,4120250.0,915268.0,57478513.0,63508.0,841481.0,63419020.0,0.0,4378402.0,54642.0,40823771.0,0.0,1861792.0,889689.0,0.0,0.0,6086763.0,2560392.0,0.0,0.0,758796.0,0.0,4733664.0,305971.0,482738.0,198361.0,261917.0,22122.0,63419020.0,,,
